1,1,4120736,25.2,83.42,110.861444,362,1051,157.8642473,821,2.930107527,1.911424731,9.31,61.53563172,100,14.72043011,950.1075269,314.976335
2,1,4120736,0.3,83.61,110.6006779,392,1023,215.5625,933,2.175595238,2.152827381,5.99,47.55436012,100,18.85565476,947.0386905,293.004
3,1,4120736,17.7,84.08,110.7283829,472,1047,246.2876344,1027,0.079301075,2.543010753,3.41,38.69329301,100,20.40725806,948.2930108,336.928
4,1,4120736,37.5,83.29,101.1744684,505,1011,258.3861111,1069,6.397222222,2.569444444,4.02,48.13218056,100,24.32083333,944.4444444,329.147
5,1,4120736,94.4,83.66,87.60643018,507,927,249.5860215,1055,13.39784946,2.62594086,13.47,62.35745968,100,26.24865591,946.2903226,343.147
6,1,4120736,119.4,83.58,87.58225261,512,959,299.0430556,1068,15.65833333,2.775277778,15.74,62.45623611,100,28.36388889,948.5694444,347.1042701
7,1,4120736,19.9,83.66,87.4942634,515,930,272.0658602,1028,16.23252688,2.612096774,18.87,66.77084677,100,27.52016129,949.5026882,353.533
8,1,4120736,64,83.8,87.84188296,498,942,279.8494624,1022,15.63172043,2.363172043,19.99,63.87182796,100,27.76478495,949.811828,371.523
9,1,4120736,371.8,84.24,87.65189617,470,936,185.7555556,1001,18.39583333,2.035972222,28.58,85.72184722,100,24.57916667,947.7916667,331.5533
10,1,4120736,32.6,85.29,98.84355623,424,987,176.5013441,937,14.99327957,1.823790323,30.41,81.45219086,100,22.18951613,949.1666667,338.902
11,1,4120736,108.7,85.61,114.5937372,368,992,122.6208333,837,10.02777778,1.826944444,29.93,83.71173611,100,16.56805556,952.1527778,324.922
12,1,4120736,82.2,85.9,115.0796575,313,973,134.6827957,723,6.086021505,1.579166667,25.83,74.65399194,100,14.70833333,950.6586022,329.741
1,2,4187494,6.6,86.63,115.5999614,354,1028,175.9287634,815,2.963709677,1.90483871,16,65.61275538,100,13.31989247,951.2634409,335.964
2,2,4187494,18.1,86.88,116.0388971,423,1021,190.3199405,917,5.232142857,2.024255952,14.55,60.2758631,100,17.88244048,948.0952381,305.315
3,2,4187494,31,87.11,116.2312559,472,1038,221.0994624,1023,6.637096774,2.380510753,7.76,60.78706989,100,19.52822581,947.2983871,341.128
4,2,4187494,15.4,86.11,105.1130073,515,997,276.1138889,1062,7.031944444,2.583055556,8.83,47.70458333,100,24.48611111,945.8472222,369.893
5,2,4187494,13.9,86.23,88.40962943,520,973,273.6962366,1082,12.03897849,2.636827957,13.77,59.8246371,100,25.53225806,947.7688172,354.777
6,2,4187494,52.4,86.45,88.70023154,517,940,273.2069444,1060,16.61527778,3.011666667,11.77,65.805625,100,28.30555556,947.2777778,361.967
7,2,4187494,6.1,86.81,89.10007232,513,947,289.9462366,1043,15.91935484,2.684543011,18.19,63.68936828,100,28.04166667,949.7715054,372.889
8,2,4187494,27.1,86.82,89.80967634,498,945,284.9448925,1027,16.54973118,2.33938172,17.32,65.33915323,100,28.14784946,949.6236559,383.735776
9,2,4187494,314.4,87.36,89.88464609,469,946,194.8722222,979,17.92916667,2.09375,26.85,83.41706944,100,24.775,949.1388889,348.262
10,2,4187494,119.2,88.5,101.5678463,423,987,214.8091398,912,14.40725806,1.728629032,22.17,76.92177419,100,22.85080645,948.8844086,360.711
11,2,4187494,62.5,88.76,118.9574831,378,1018,159.0180556,812,7.275,1.9325,18.95,75.96634722,100,15.59583333,951.2916667,342.207
12,2,4187494,70.3,89.07,119.1943707,329,1029,114.4260753,743,8.561827957,1.780241935,20.62,78.89459677,100,16.27688172,949.8521505,345.06
1,3,4254252,44.7,89,117.3142788,341,988,123.6895161,776,5.661290323,1.718413978,22.19,76.29032258,100,13.81854839,952.3924731,349.763
2,3,4254252,72.8,89.3,116.9243835,396,1009,153.6622024,914,6.587797619,1.971130952,20.69,74.14580357,100,15.56845238,949.7916667,317.091
3,3,4254252,94.9,89.52,116.3798845,476,982,178.5927419,1017,10.06989247,1.778629032,19.51,78.62555108,100,17.97983871,949.9462366,354.739
